Payment type,Male,Female,Other,Total
ABSTUDY (Living Allowance),155,195,0,350
ABSTUDY (Non-Living Allowance),545,695,0,1240
Age Pension,5335,5375,0,10710
Austudy,35,45,0,80
Carer Allowance,765,2750,0,3515
Carer Allowance (Child Health Care Card only),5,70,0,75
Carer Payment,515,1375,0,1890
Commonwealth Seniors Health Card,710,730,0,1440
Disability Support Pension,4740,3760,0,8500
Health Care Card,12350,14800,0,27150
JobSeeker Payment,11830,8135,0,19965
Low Income Card,140,265,0,405
Parenting Payment Partnered,40,1920,0,1960
Parenting Payment Single,300,5325,0,5625
Pension Concession Card,12820,17955,0,30775
Special Benefit,10,20,0,30
Youth Allowance (other),1895,1760,0,3655
Youth Allowance (student and apprentice),80,165,0,245
All Payments,52270,65340,0,117610
