Payment type,Male,Female,Other,Total
ABSTUDY (Living Allowance),930,1445,0,2375
ABSTUDY (Non-Living Allowance),3065,3695,0,6760
Age Pension,238500,288040,0,526540
Austudy,2100,2635,0,4735
Carer Allowance,32795,102885,0,135680
Carer Allowance (Child Health Care Card only),150,1545,0,1695
Carer Payment,17730,45015,0,62745
Commonwealth Seniors Health Card,46155,49265,0,95420
Disability Support Pension,92680,80370,0,173050
Health Care Card,100725,176995,5,277725
JobSeeker Payment,97860,81665,0,179525
Low Income Card,9970,16410,0,26380
Parenting Payment Partnered,1215,10470,0,11685
Parenting Payment Single,5310,73960,0,79270
Pension Concession Card,401515,538815,0,940330
Special Benefit,280,605,0,885
Youth Allowance (other),11505,11500,0,23005
Youth Allowance (student and apprentice),8380,13175,0,21555
All Payments,1070865,1498490,5,2569360
