Payment type,Male,Female,Other,Total
ABSTUDY (Living Allowance),80,105,0,185
ABSTUDY (Non-Living Allowance),150,170,0,320
Age Pension,32420,39745,0,72165
Austudy,200,290,0,490
Carer Allowance,4785,12640,0,17425
Carer Allowance (Child Health Care Card only),20,195,0,215
Carer Payment,2845,6455,0,9300
Commonwealth Seniors Health Card,5205,5245,0,10450
Disability Support Pension,14945,13320,0,28265
Health Care Card,12355,20220,0,32575
JobSeeker Payment,11850,9745,0,21595
Low Income Card,2565,3605,0,6170
Parenting Payment Partnered,130,1235,0,1365
Parenting Payment Single,550,8045,0,8595
Pension Concession Card,57455,74295,0,131750
Special Benefit,15,40,0,55
Youth Allowance (other),1415,1380,0,2795
Youth Allowance (student and apprentice),860,1320,0,2180
All Payments,147845,198050,0,345895
