Payment type,Male,Female,Other,Total
ABSTUDY (Living Allowance),365,505,0,870
ABSTUDY (Non-Living Allowance),1135,1275,0,2410
Age Pension,110305,138115,0,248420
Austudy,930,1115,0,2045
Carer Allowance,11250,36935,0,48185
Carer Allowance (Child Health Care Card only),60,710,0,770
Carer Payment,5530,14785,0,20315
Commonwealth Seniors Health Card,27230,28145,0,55375
Disability Support Pension,32415,28845,0,61260
Health Care Card,49515,80335,5,129855
JobSeeker Payment,47060,39815,0,86875
Low Income Card,4940,8950,5,13895
Parenting Payment Partnered,495,4670,0,5165
Parenting Payment Single,1945,33960,0,35905
Pension Concession Card,169300,238480,0,407780
Special Benefit,170,325,0,495
Youth Allowance (other),4725,5060,0,9785
Youth Allowance (student and apprentice),4005,5875,0,9880
All Payments,471375,667900,10,1139285
